uaat_target,baseline,baseline_target,uaat_coverage,baseline_coverage,coverage_gap,uaat_risk,baseline_risk,risk_delta_baseline_minus_uaat,risk_reduction_pct,uaat_wrong_auto_rate,baseline_wrong_auto_rate,wrong_auto_delta,uaat_auto_error_rate,baseline_auto_error_rate,uaat_defer_rate,baseline_defer_rate,n
0.86,fixed,0.62,0.613043478,0.613768116,0.000724637681,3.923188406,4.060144928,0.136956522,3.373192932,0.353623188,0.367391304,0.0137681159,0.576832151,0.598583235,0.386956522,0.386231884,1380
0.86,uncertainty_grid,0.62,0.613043478,0.613768116,0.000724637681,3.923188406,4.060144928,0.136956522,3.373192932,0.353623188,0.367391304,0.0137681159,0.576832151,0.598583235,0.386956522,0.386231884,1380
0.87,fixed,0.63,0.623913043,0.622463768,0.00144927536,4.021014493,4.123913043,0.102898551,2.495167809,0.364492754,0.374637681,0.0101449275,0.584204413,0.601862631,0.376086957,0.377536232,1380
0.87,uncertainty_grid,0.63,0.623913043,0.622463768,0.00144927536,4.021014493,4.123913043,0.102898551,2.495167809,0.364492754,0.374637681,0.0101449275,0.584204413,0.601862631,0.376086957,0.377536232,1380
0.88,fixed,0.65,0.629710145,0.629710145,0,4.065942029,4.189130435,0.123188406,2.940667705,0.369565217,0.381884058,0.0123188406,0.586881473,0.606444189,0.370289855,0.370289855,1380
0.88,uncertainty_grid,0.65,0.629710145,0.629710145,0,4.065942029,4.189130435,0.123188406,2.940667705,0.369565217,0.381884058,0.0123188406,0.586881473,0.606444189,0.370289855,0.370289855,1380
0.89,fixed,0.66,0.636231884,0.639130435,0.00289855072,4.124637681,4.25942029,0.134782609,3.164341613,0.376086957,0.389855072,0.0137681159,0.591116173,0.609977324,0.363768116,0.360869565,1380
0.89,uncertainty_grid,0.66,0.636231884,0.639130435,0.00289855072,4.124637681,4.25942029,0.134782609,3.164341613,0.376086957,0.389855072,0.0137681159,0.591116173,0.609977324,0.363768116,0.360869565,1380
0.9,fixed,0.66,0.645652174,0.639130435,0.00652173913,4.20942029,4.25942029,0.05,1.173868663,0.385507246,0.389855072,0.00434782609,0.59708193,0.609977324,0.354347826,0.360869565,1380
0.9,uncertainty_grid,0.66,0.645652174,0.639130435,0.00652173913,4.20942029,4.25942029,0.05,1.173868663,0.385507246,0.389855072,0.00434782609,0.59708193,0.609977324,0.354347826,0.360869565,1380
